No,SMILES,Cl-C,"(C=C),(C-C),(C-C),xC",O=C-C-O,C=C-C=C,C-N=O,"(C-C),xC",I-C-C=C,C-C-F,C-C=C-O,"(C-C),(C-C),xC",S-C,C-O-C=O,"(C=O),(C-C),(C-O),xC","(C-C),(C-O),xC",Br-C-C-O,"(C-O),xC","(C=O),(C-C),xC",C=O,C=C-C=O,"(Br-C),xBr",N,Br-C=C-Br,pLC50,Series
C_258,COC(=O)C1=CC=CC(O)=C1,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,-0.05,T
C_260,COC(=O)C1=C(O)C=C(OC)C=C1,0,0,0,3,0,0,0,0,3,0,0,1,1,0,0,2,0,1,1,0,0,0,0.62,T
C_262,CCCCCCCCCOC(=O)C1=CC=C(O)C=C1,0,0,0,3,0,1,0,0,1,7,0,1,1,1,0,0,0,1,1,0,0,0,2.63,T
C_263,CC(C)CCCC(C)CC1=CC=C(O)C=C1,0,0,0,3,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2.47,T
C_264,CCCCCOC1=CC=C(O)C=C1,0,0,0,3,0,1,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1.36,T
C_265,OC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,4,2.66,T
C_266,OC1=C(Cl)C(Cl)=C(Cl)C(Cl)=C1Cl,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,T
C_267,OC1=C(F)C(F)=C(F)C(F)=C1F,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,T
C_268,OC1=CC=CC=C1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21,T
C_270,[O-][N+](=O)C1=CC=C(CCl)C=C1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.18,T
C_271,CC1=C(Br)C=CC(=C1)[N+]([O-])=O,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.16,T
C_273,[O-][N+](=O)C1=CC(Cl)=CC(Cl)=C1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.24,T
C_274,NNC(=O)C1=C(O)C=CC=C1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,2,0,0.18,T
C_275,ONC(=O)C1=C(O)C=CC=C1,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0.38,T
C_278,OC1=C(O)C(Br)=C(Br)C(Br)=C1Br,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,3,0.98,T
C_280,OC1=C(Cl)C(Cl)=C(O)C(Cl)=C1Cl,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,T
C_281,OC1=C(F)C(F)=C(O)C(F)=C1F,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,T
C_282,CC1=C(C)C(O)=C(C)C(C)=C1O,0,4,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,T
C_284,OCC1=CC(=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1.09,T
C_285,OC1=CC=C(C=C1)C(F)(F)F,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,T
C_286,OC(=O)C1=C(C=CC=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,-1.64,T
C_287,NC1=C(O)C=CC(=C1)S(O)(=O)=O,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,-1.5,T
C_288,OC(=O)C1=CC=CC(=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,-1.09,T
C_290,N#CC1=CC=NC=C1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.82,T
C_292,N#CC1=NC=CC=C1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.79,T
C_295,CC1=CC(C)=C(C#N)C(=O)N1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.7,T
C_296,[O-][N+](=O)C1=C(Cl)C(Cl)=CC=C1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.07,T
C_297,N#CC1=CC=CC=C1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.52,T
C_301,NC(=O)C1=CC=C(C=C1)C#N,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,-0.38,T
C_302,CC(=O)C1=CC=C(C=C1)C#N,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,-0.37,T
C_303,N#CC1=C(C=CC=C1)C#N,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-0.34,T
C_304,FC1=CC=C(C=C1)C#N,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.26,T
C_306,CC1=C(C=CC=C1)C#N,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.24,T
C_307,OCC1=CC=CC(=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.22,T
C_308,NC(=O)C1=CC(=CC=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,-0.19,T
C_309,[O-][N+](=O)C1=C(Cl)C=C(Cl)C=C1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.99,T
C_310,[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.89,T
C_313,CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.87,T
C_315,ClC1=CC=CC(=C1)C#N,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.06,T
C_316,COC(=O)C1=CC=C(C=C1)C#N,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,-0.06,T
C_317,O=CC1=CC(=CC=C1)C#N,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,-0.02,T
C_318,ClC1=CC=C(C=C1)C#N,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,T
C_320,O=CC1=CC=C(C=C1)C#N,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.04,T
C_321,COC1=CC=CC(=C1)C#N,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.05,T
C_322,CCOC1=CC=C(C=C1)[N+]([O-])=O,0,0,0,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.83,T
C_325,CC1=CC=C(Cl)C=C1[N+]([O-])=O,1,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.82,T
C_326,[O-][N+](=O)C1=C(Br)C=CC=C1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.75,T
C_327,NC1=C(C=CC=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.08,T
C_328,COC1=CC=C(C=C1)C#N,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.1,T
C_329,OCC1=CC=C(C=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.1,T
C_330,[O-][N+](=O)C1=CC(Cl)=CC=C1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.73,T
C_331,CCOC(=O)C1=CC=C(C=C1)[N+]([O-])=O,0,0,0,3,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0.71,T
C_332,[O-][N+](=O)C1=CC=C(CC#N)C=C1,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0.13,T
C_333,[O-][N+](=O)C1=CC(C=O)=CC=C1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.14,T
C_334,[O-][N+](=O)C1=CC=CC=C1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.14,T
C_338,[O-][N+](=O)C1=CC=C(C=O)C=C1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0.2,T
C_339,[O-][N+](=O)C1=CC(F)=CC=C1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,T
C_341,ClC1=C(C=CC=C1)C#N,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.28,T
C_343,O\N=C\C1=CC=C(C=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.68,T
C_344,BrC1=CC=C(C=C1)C#N,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.29,T
C_346,CC(=O)C1=CC=CC(=C1)[N+]([O-])=O,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.32,T
C_347,[O-][N+](=O)C1=C(Cl)C=CC=C1,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.68,T
C_349,[O-][N+](=O)C1=CC=C(Br)C=C1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.38,T
C_350,COC(=O)C1=CC=C(C=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0.4,T
C_352,NC1=C(C=C(Cl)C=C1)C#N,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.44,T
C_353,[O-][N+](=O)C1=CC(=CC=C1)C#N,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.45,T
C_355,COC1=CC=CC(=C1)[N+]([O-])=O,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.67,T
C_357,OCC1=CC(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0.53,T
C_358,CC1=CC=CC(=C1C)[N+]([O-])=O,0,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.56,T
